Buffalo-Niagara Falls,New York,901,US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,2363
Laurier,Washington,3016,US-Canada Border,12/01/2018 12:00:00 AM,Trucks,431
Roma,Texas,2310,US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,725
Eagle Pass,Texas,2303,US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,2340
El Paso,Texas,2402,US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,18880
Opheim,Montana,3317,US-Canada Border,12/01/2018 12:00:00 AM,Trucks,17
Alexandria Bay,New York,708,US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,40065
Otay Mesa,California,2506,US-Mexico Border,12/01/2018 12:00:00 AM,Buses,2089
Ogdensburg,New York,701,US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,24414
Ambrose,North Dakota,3410,US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,212
Otay Mesa,California,2506,US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,579384
Skagway,Alaska,3103,US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,590
Sault Sainte Marie,Michigan,3803,US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,1894
Lukeville,Arizona,2602,US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,24050
Eagle Pass,Texas,2303,US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,17767
Portal,North Dakota,3403,US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,93
Tecate,California,2505,US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,82348
Fort Kent,Maine,110,US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,8296
Fort Kent,Maine,110,US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,52
Port Huron,Michigan,3802,US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,10628
Dunseith,North Dakota,3422,US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,3111
Pinecreek,Minnesota,3425,US-Canada Border,12/01/2018 12:00:00 AM,Trucks,6
Highgate Springs-Alburg,Vermont,212,US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,1596
Detroit,Michigan,3801,US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,6399
Houlton,Maine,106,US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20
Otay Mesa,California,2506,US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,305381
Laurier,Washington,3016,US-Canada Border,12/01/2018 12:00:00 AM,Trains,12
International Falls-Ranier,Minnesota,3604,US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,894
Sumas,Washington,3009,US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,69103
Eastport,Idaho,3302,US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,220
Sumas,Washington,3009,US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,122604
Blaine,Washington,3004,US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,4475
Derby Line,Vermont,209,US-Canada Border,12/01/2018 12:00:00 AM,Trucks,6368
Laurier,Washington,3016,US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,33
Port Angeles,Washington,3007,US-Canada Border,12/01/2018 12:00:00 AM,Trucks,31
Lynden,Washington,3023,US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,89365
